feature,mean_shap,percentage
year,20.26523183522537,56.16065098547869
duration_ms,8.116949515727827,22.494347586350777
acousticness,1.720817400975358,4.768868486267721
instrumentalness,1.5738487727046373,4.361577126107728
explicit,1.3600455755506244,3.7690683982246025
energy,0.8326892972131625,2.3076159888210768
loudness,0.6490969954685266,1.7988301399476867
speechiness,0.5248814862822676,1.4545940653192595
danceability,0.28747094193395395,0.7966627458145757
tempo,0.2749181037330664,0.7618753044070795
key,0.21111014928449812,0.5850455356178338
valence,0.1155114110359608,0.32011457321473186
mode,0.08538014968450165,0.23661238255288383
liveness,0.06644460991981137,0.18413668187533483
